Timestamp,iSTAR i8,Input Port
08/01/23 15:40:10,---,---,TEST #0 Trial:0
08/01/23 15:40:10,i8.1,input 0 ACTIVE,
08/01/23 15:40:12,i8.1,input 0 INACTIVE,
08/01/23 15:40:14,i8.1,input 1 ACTIVE,
08/01/23 15:40:16,i8.1,input 1 INACTIVE,
08/01/23 15:40:17,i8.1,input 2 ACTIVE,
08/01/23 15:40:19,i8.1,input 2 INACTIVE,
08/01/23 15:40:20,i8.1,input 3 ACTIVE,
08/01/23 15:40:22,i8.1,input 3 INACTIVE,
08/01/23 15:40:23,i8.1,input 4 ACTIVE,
08/01/23 15:40:25,i8.1,input 4 INACTIVE,
08/01/23 15:40:26,i8.1,input 5 ACTIVE,
08/01/23 15:40:28,i8.1,input 5 INACTIVE,
08/01/23 15:40:29,i8.1,input 6 ACTIVE,
08/01/23 15:40:31,i8.1,input 6 INACTIVE,
08/01/23 15:40:32,i8.1,input 7 ACTIVE,
08/01/23 15:40:34,i8.1,input 7 INACTIVE,
08/01/23 15:40:35,---,---,END OF TEST #0 Trial: 0
08/01/23 15:40:35,---,---,TEST #0 Trial:0
08/01/23 15:40:35,i8.2,input 0 ACTIVE,
08/01/23 15:40:37,i8.2,input 0 INACTIVE,
08/01/23 15:40:38,i8.2,input 1 ACTIVE,
08/01/23 15:40:40,i8.2,input 1 INACTIVE,
08/01/23 15:40:41,i8.2,input 2 ACTIVE,
08/01/23 15:40:43,i8.2,input 2 INACTIVE,
08/01/23 15:40:44,i8.2,input 3 ACTIVE,
08/01/23 15:40:46,i8.2,input 3 INACTIVE,
08/01/23 15:40:47,i8.2,input 4 ACTIVE,
08/01/23 15:40:49,i8.2,input 4 INACTIVE,
08/01/23 15:40:50,i8.2,input 5 ACTIVE,
08/01/23 15:40:52,i8.2,input 5 INACTIVE,
08/01/23 15:40:53,i8.2,input 6 ACTIVE,
08/01/23 15:40:55,i8.2,input 6 INACTIVE,
08/01/23 15:40:56,i8.2,input 7 ACTIVE,
08/01/23 15:40:58,i8.2,input 7 INACTIVE,
08/01/23 15:40:59,---,---,END OF TEST #0 Trial: 0
08/01/23 15:40:59,---,---,TEST #0 Trial:0
08/01/23 15:40:59,i8.3,input 0 ACTIVE,
08/01/23 15:41:01,i8.3,input 0 INACTIVE,
08/01/23 15:41:02,i8.3,input 1 ACTIVE,
08/01/23 15:41:04,i8.3,input 1 INACTIVE,
08/01/23 15:41:05,i8.3,input 2 ACTIVE,
08/01/23 15:41:07,i8.3,input 2 INACTIVE,
08/01/23 15:41:08,i8.3,input 3 ACTIVE,
08/01/23 15:41:10,i8.3,input 3 INACTIVE,
08/01/23 15:41:11,i8.3,input 4 ACTIVE,
08/01/23 15:41:13,i8.3,input 4 INACTIVE,
08/01/23 15:41:14,i8.3,input 5 ACTIVE,
08/01/23 15:41:16,i8.3,input 5 INACTIVE,
08/01/23 15:41:17,i8.3,input 6 ACTIVE,
08/01/23 15:41:19,i8.3,input 6 INACTIVE,
08/01/23 15:41:20,i8.3,input 7 ACTIVE,
08/01/23 15:41:22,i8.3,input 7 INACTIVE,
08/01/23 15:41:23,---,---,END OF TEST #0 Trial: 0
08/01/23 15:41:23,---,---,TEST #0 Trial:0
08/01/23 15:41:23,i8.4,input 0 ACTIVE,
08/01/23 15:41:25,i8.4,input 0 INACTIVE,
08/01/23 15:41:26,i8.4,input 1 ACTIVE,
08/01/23 15:41:28,i8.4,input 1 INACTIVE,
08/01/23 15:41:29,i8.4,input 2 ACTIVE,
08/01/23 15:41:31,i8.4,input 2 INACTIVE,
08/01/23 15:41:32,i8.4,input 3 ACTIVE,
08/01/23 15:41:34,i8.4,input 3 INACTIVE,
08/01/23 15:41:35,i8.4,input 4 ACTIVE,
08/01/23 15:41:37,i8.4,input 4 INACTIVE,
08/01/23 15:41:38,i8.4,input 5 ACTIVE,
08/01/23 15:41:40,i8.4,input 5 INACTIVE,
08/01/23 15:41:41,i8.4,input 6 ACTIVE,
08/01/23 15:41:43,i8.4,input 6 INACTIVE,
08/01/23 15:41:44,i8.4,input 7 ACTIVE,
08/01/23 15:41:46,i8.4,input 7 INACTIVE,
08/01/23 15:41:47,---,---,END OF TEST #0 Trial: 0
08/01/23 15:41:47,---,---,TEST #0 Trial:0
08/01/23 15:41:47,i8.5,input 0 ACTIVE,
08/01/23 15:41:49,i8.5,input 0 INACTIVE,
08/01/23 15:41:50,i8.5,input 1 ACTIVE,
08/01/23 15:41:52,i8.5,input 1 INACTIVE,
08/01/23 15:41:53,i8.5,input 2 ACTIVE,
08/01/23 15:41:55,i8.5,input 2 INACTIVE,
08/01/23 15:41:56,i8.5,input 3 ACTIVE,
08/01/23 15:41:58,i8.5,input 3 INACTIVE,
08/01/23 15:41:59,i8.5,input 4 ACTIVE,
08/01/23 15:42:01,i8.5,input 4 INACTIVE,
08/01/23 15:42:02,i8.5,input 5 ACTIVE,
08/01/23 15:42:04,i8.5,input 5 INACTIVE,
08/01/23 15:42:05,i8.5,input 6 ACTIVE,
08/01/23 15:42:07,i8.5,input 6 INACTIVE,
08/01/23 15:42:08,i8.5,input 7 ACTIVE,
08/01/23 15:42:10,i8.5,input 7 INACTIVE,
08/01/23 15:42:11,---,---,END OF TEST #0 Trial: 0
08/01/23 15:42:11,---,---,TEST #0 Trial:0
08/01/23 15:42:11,i8.6,input 0 ACTIVE,
08/01/23 15:42:14,i8.6,input 0 INACTIVE,
08/01/23 15:42:15,i8.6,input 1 ACTIVE,
08/01/23 15:42:17,i8.6,input 1 INACTIVE,
08/01/23 15:42:18,i8.6,input 2 ACTIVE,
08/01/23 15:42:20,i8.6,input 2 INACTIVE,
08/01/23 15:42:21,i8.6,input 3 ACTIVE,
08/01/23 15:42:23,i8.6,input 3 INACTIVE,
08/01/23 15:42:24,i8.6,input 4 ACTIVE,
08/01/23 15:42:26,i8.6,input 4 INACTIVE,
08/01/23 15:42:27,i8.6,input 5 ACTIVE,
08/01/23 15:42:29,i8.6,input 5 INACTIVE,
08/01/23 15:42:30,i8.6,input 6 ACTIVE,
08/01/23 15:42:32,i8.6,input 6 INACTIVE,
08/01/23 15:42:33,i8.6,input 7 ACTIVE,
08/01/23 15:42:35,i8.6,input 7 INACTIVE,
08/01/23 15:42:36,---,---,END OF TEST #0 Trial: 0
08/01/23 15:42:36,---,---,TEST #0 Trial:0
08/01/23 15:42:36,i8.7,input 0 ACTIVE,
08/01/23 15:42:38,i8.7,input 0 INACTIVE,
08/01/23 15:42:39,i8.7,input 1 ACTIVE,
08/01/23 15:42:41,i8.7,input 1 INACTIVE,
08/01/23 15:42:42,i8.7,input 2 ACTIVE,
08/01/23 15:42:44,i8.7,input 2 INACTIVE,
08/01/23 15:42:45,i8.7,input 3 ACTIVE,
08/01/23 15:42:47,i8.7,input 3 INACTIVE,
08/01/23 15:42:48,i8.7,input 4 ACTIVE,
08/01/23 15:42:50,i8.7,input 4 INACTIVE,
08/01/23 15:42:51,i8.7,input 5 ACTIVE,
08/01/23 15:42:53,i8.7,input 5 INACTIVE,
08/01/23 15:42:54,i8.7,input 6 ACTIVE,
08/01/23 15:42:56,i8.7,input 6 INACTIVE,
08/01/23 15:42:57,i8.7,input 7 ACTIVE,
08/01/23 15:42:59,i8.7,input 7 INACTIVE,
08/01/23 15:43:00,---,---,END OF TEST #0 Trial: 0
08/01/23 15:43:00,---,---,TEST #0 Trial:0
08/01/23 15:43:00,i8.8,input 0 ACTIVE,
08/01/23 15:43:02,i8.8,input 0 INACTIVE,
08/01/23 15:43:03,i8.8,input 1 ACTIVE,
08/01/23 15:43:05,i8.8,input 1 INACTIVE,
08/01/23 15:43:06,i8.8,input 2 ACTIVE,
08/01/23 15:43:08,i8.8,input 2 INACTIVE,
08/01/23 15:43:09,i8.8,input 3 ACTIVE,
08/01/23 15:43:11,i8.8,input 3 INACTIVE,
08/01/23 15:43:12,i8.8,input 4 ACTIVE,
08/01/23 15:43:14,i8.8,input 4 INACTIVE,
08/01/23 15:43:15,i8.8,input 5 ACTIVE,
08/01/23 15:43:17,i8.8,input 5 INACTIVE,
08/01/23 15:43:18,i8.8,input 6 ACTIVE,
08/01/23 15:43:20,i8.8,input 6 INACTIVE,
08/01/23 15:43:21,i8.8,input 7 ACTIVE,
08/01/23 15:43:23,i8.8,input 7 INACTIVE,
08/01/23 15:43:24,---,---,END OF TEST #0 Trial: 0
